Date,Exercise Duration (hh:mm:ss),Distance (km),Steps,Max Pace (min/km),Avg Pace (min/km),Calories Burned,Avg Stride Frequency (spm),Avg Stride Length (cm),Avg Heart Rate (bpm),Heart Rate Zone
27/12/24,0:20:27,2.11,2862,"6'24""","9'41""",150,139,73,149,Orange
29/12/24,0:23:26,2.9,3808,"6'24""","8'04""",223,162,76,165,0range
02/01/25,0:14:57,1.81,2387,"6'56""","8'16""",124,159,75,143,green
